AB01,apostrophe,quotedbl,dead_acute,NoSymbol,comma,comma
AB02,q,Q,aacute,Aacute,3,3
AB03,j,J,igrave,Igrave,2,2
AB04,k,K,iacute,Iacute,1,1
AB05,x,X,idiaeresis,Idiaeresis,minus,minus
AB06,b,B,ediaeresis,Ediaeresis,minus,minus
AB07,m,M,uacute,Uacute,1,1
AB08,w,W,yacute,Yacute,2,2
AB09,v,V,ydiaeresis,Ydiaeresis,3,3
AB10,z,Z,U0133,U0132,comma,comma
AC01,a,A,agrave,Agrave,period,period
AC02,o,O,oslash,Ooblique,6,6
AC03,e,E,eacute,Eacute,5,5
AC04,u,U,egrave,Egrave,4,4
AC05,i,I,aring,Aring,plus,plus
AC06,d,D,eth,ETH,plus,plus
AC07,h,H,ugrave,Ugrave,4,4
AC08,t,T,thorn,THORN,5,5
AC09,n,N,ntilde,Ntilde,6,6
AC10,s,S,ssharp,U1E9E,period,period
AC11,minus,underscore,hyphen,endash,NoSymbol,NoSymbol
AD01,semicolon,colon,dead_diaeresis,NoSymbol,percent,percent
AD02,comma,less,guillemotleft,U201C,9,9
AD03,period,greater,guillemotright,U201D,8,8
AD04,p,P,paragraph,section,7,7
AD05,y,Y,udiaeresis,Udiaeresis,slash,division
AD06,f,F,ae,AE,slash,division
AD07,g,G,oe,OE,7,7
AD08,c,C,ccedilla,Ccedilla,8,8
AD09,r,R,registered,trademark,9,9
AD10,l,L,copyright,numerosign,percent,percent
AD11,slash,question,questiondown,NoSymbol,NoSymbol,NoSymbol
AD12,at,asciicircum,dead_circumflex,dead_caron,NoSymbol,NoSymbol
AE01,ampersand,percent,NoSymbol,NoSymbol,NoSymbol,NoSymbol
AE02,braceleft,9,currency,NoSymbol,NoSymbol,NoSymbol
AE03,bracketleft,7,cent,NoSymbol,parenleft,parenleft
AE04,parenleft,5,yen,NoSymbol,parenright,parenright
AE05,dollar,3,EuroSign,NoSymbol,asterisk,multiply
AE06,equal,1,sterling,NoSymbol,equal,equal
AE07,asterisk,0,NoSymbol,NoSymbol,asterisk,multiply
AE08,exclam,2,exclamdown,U00b2,parenleft,parenleft
AE09,parenright,4,onehalf,NoSymbol,parenright,parenright
AE10,bracketright,6,NoSymbol,NoSymbol,NoSymbol,NoSymbol
AE11,braceright,8,NoSymbol,NoSymbol,NoSymbol,NoSymbol
AE12,numbersign,grave,dead_grave,NoSymbol,NoSymbol,NoSymbol
BKSL,backslash,bar,acute,dead_acute,NoSymbol,NoSymbol
BKSP,BackSpace,BackSpace,NoSymbol,NoSymbol,NoSymbol,NoSymbol
SPCE,space,space,nobreakspace,U202F,0,0
TLDE,plus,asciitilde,dead_tilde,NoSymbol,NoSymbol,NoSymbol
